Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
AmazonOffice,WMF,5%,20%,N,-,-,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43156,5.92901,6.46081,89.34,17.05,89.28,16580,7900,24480==24480.0
AmazonOffice,WMF,5%,20%,C,0.003,-,0.00779,0.03221,0.00637,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43057,5.92919,6.45975,89.28,16.99,89.22,16587,7893,24480==24480.0
AmazonOffice,WMF,5%,20%,C,0.0005,-,0.00779,0.03221,0.00637,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43131,5.92901,6.46055,89.34,17.05,89.28,16582,7898,24480==24480.0
AmazonOffice,WMF,5%,20%,C,0.0001,-,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43155,5.92901,6.4608,89.34,17.05,89.28,16580,7900,24480==24480.0
AmazonOffice,WMF,5%,20%,C,0.00005,-,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43156,5.92901,6.46081,89.34,17.05,89.28,16580,7900,24480==24480.0
AmazonOffice,WMF,5%,20%,C,0.000005,-,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43156,5.92901,6.46081,89.34,17.05,89.28,16580,7900,24480==24480.0
AmazonOffice,WMF,5%,20%,P,-,0.003,0.00775,0.03221,0.00633,0.00812,0.03361,0.00663,0.02239,0.03857,0.02145,6.43763,5.93075,6.46713,89.4,16.99,89.34,16444,8036,24480==24480.0
AmazonOffice,WMF,5%,20%,P,-,0.0005,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43244,5.92945,6.46172,89.34,16.99,89.28,16557,7923,24480==24480.0
AmazonOffice,WMF,5%,20%,P,-,0.0001,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.4317,5.92901,6.46096,89.34,17.05,89.28,16575,7905,24480==24480.0
AmazonOffice,WMF,5%,20%,P,-,0.00005,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.4316,5.92901,6.46085,89.34,17.05,89.28,16579,7901,24480==24480.0
AmazonOffice,WMF,5%,20%,P,-,0.000005,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43156,5.92901,6.46081,89.34,17.05,89.28,16580,7900,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.003,0.003,0.00779,0.03221,0.00637,0.00812,0.03361,0.00663,0.02239,0.03857,0.02145,6.43686,5.93049,6.46634,89.34,16.99,89.28,16452,8028,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.003,0.0005,0.00779,0.03221,0.00637,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43134,5.92919,6.46057,89.28,16.99,89.22,16566,7914,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.003,0.0001,0.00779,0.03221,0.00637,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43076,5.92919,6.45995,89.28,16.99,89.22,16582,7898,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.003,0.00005,0.00779,0.03221,0.00637,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43061,5.92919,6.4598,89.28,16.99,89.22,16586,7894,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.003,0.000005,0.00779,0.03221,0.00637,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43057,5.92919,6.45975,89.28,16.99,89.22,16587,7893,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.0005,0.003,0.00779,0.03221,0.00637,0.00812,0.03361,0.00663,0.02239,0.03857,0.02145,6.43746,5.93075,6.46695,89.4,16.99,89.34,16444,8036,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.0005,0.0005,0.00779,0.03221,0.00637,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43208,5.92945,6.46134,89.34,16.99,89.28,16560,7920,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.0005,0.0001,0.00779,0.03221,0.00637,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43144,5.92901,6.46068,89.34,17.05,89.28,16578,7902,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.0005,0.00005,0.00779,0.03221,0.00637,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43135,5.92901,6.46059,89.34,17.05,89.28,16581,7899,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.0005,0.000005,0.00779,0.03221,0.00637,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43131,5.92901,6.46055,89.34,17.05,89.28,16582,7898,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.0001,0.003,0.00775,0.03221,0.00633,0.00812,0.03361,0.00663,0.02239,0.03857,0.02145,6.43762,5.93075,6.46712,89.4,16.99,89.34,16444,8036,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.0001,0.0005,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43243,5.92945,6.4617,89.34,16.99,89.28,16557,7923,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.0001,0.0001,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43167,5.92901,6.46093,89.34,17.05,89.28,16576,7904,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.0001,0.00005,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43159,5.92901,6.46084,89.34,17.05,89.28,16579,7901,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.0001,0.000005,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43155,5.92901,6.4608,89.34,17.05,89.28,16580,7900,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.00005,0.003,0.00775,0.03221,0.00633,0.00812,0.03361,0.00663,0.02239,0.03857,0.02145,6.43763,5.93075,6.46713,89.4,16.99,89.34,16444,8036,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.00005,0.0005,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43244,5.92945,6.46172,89.34,16.99,89.28,16557,7923,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.00005,0.0001,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.4317,5.92901,6.46096,89.34,17.05,89.28,16575,7905,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.00005,0.00005,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.4316,5.92901,6.46085,89.34,17.05,89.28,16579,7901,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.00005,0.000005,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43156,5.92901,6.46081,89.34,17.05,89.28,16580,7900,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.000005,0.003,0.00775,0.03221,0.00633,0.00812,0.03361,0.00663,0.02239,0.03857,0.02145,6.43763,5.93075,6.46713,89.4,16.99,89.34,16444,8036,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.000005,0.0005,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43244,5.92945,6.46172,89.34,16.99,89.28,16557,7923,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.000005,0.0001,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.4317,5.92901,6.46096,89.34,17.05,89.28,16575,7905,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.000005,0.00005,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.4316,5.92901,6.46085,89.34,17.05,89.28,16579,7901,24480==24480.0
AmazonOffice,WMF,5%,20%,CP,0.000005,0.000005,0.00775,0.03221,0.00632,0.00816,0.03361,0.00668,0.02284,0.03857,0.02192,6.43156,5.92901,6.46081,89.34,17.05,89.28,16580,7900,24480==24480.0
